,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,success,status_code,status_message
0,False,,,0.0,"[{'id': 10749, 'name': '로맨스'}]",,800000.0,tt13970200,en,Pool Boy,,0.6,/nnhzlixmWADF0z3F7EZi6yfxVg1.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2021-03-17,0.0,10.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Pool Boy,False,8.0,1.0,,,
1,False,,,0.0,"[{'id': 10752, 'name': '전쟁'}, {'id': 16, 'name': '애니메이션'}]",,800001.0,tt0159453,en,The G.I. Bill of Rights,,0.6,/9JGG4vu7wul2JQOQ6DF5vc1cIkI.jpg,"[{'id': 2, 'logo_path': '/wdrCwmRnLFJhEoH8GSfymY85KHT.png', 'name': 'Walt Disney Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1945-01-01,0.0,3.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,The G.I. Bill of Rights,False,9.0,1.0,,,
2,False,,,0.0,[],,800002.0,tt10622392,en,Unhappy Birthday,,0.6,/bj7RWQiAol9AhUBn7YM9SZ3fopS.jpg,[],[],2020-08-29,0.0,12.0,[],Released,,Unhappy Birthday,False,9.0,1.0,,,
3,False,,,0.0,"[{'id': 99, 'name': '다큐멘터리'}]",,800003.0,tt14145616,en,Above the Troubled Water,,1.039,/u3mglHHKSwNXDVCwLRkZ8PaJmWx.jpg,[],"[{'iso_3166_1': 'NG', 'name': 'Nigeria'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2020-11-15,0.0,38.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Yoruba', 'iso_639_1': 'yo', 'name': 'Èdè Yorùbá'}]",Released,,Above the Troubled Water,False,8.0,1.0,,,
4,False,,,0.0,"[{'id': 10402, 'name': '음악'}]",,800004.0,,ru,Калинов Мост - Песни обломка стрелы,,0.6,/1fRDeGcPyca35zQg3D7HmzaD9Tf.jpg,[],[],2010-12-05,0.0,0.0,[],Released,,Калинов Мост - Песни обломка стрелы,False,9.0,1.0,,,
5,False,/fAvx0IwIZhw8CW2GSNBQdH0aLkj.jpg,,0.0,"[{'id': 18, 'name': '드라마'}, {'id': 10749, 'name': '로맨스'}, {'id': 35, 'name': '코미디'}, {'id': 36, 'name': '역사'}]",,800005.0,tt14086060,en,Boys On Film 21: Beautiful Secret,,0.939,/8DcglK23NJRSbRqU3iauqZrxZfU.jpg,"[{'id': 24744, 'logo_path': None, 'name': 'Peccadillo Pictures', 'origin_country': 'GB'}]","[{'iso_3166_1': 'AU', 'name': 'Australia'}, {'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'RO', 'name': 'Romania'}, {'iso_3166_1': 'CH', 'name': 'Switzerland'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2021-03-01,0.0,123.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}, {'english_name': 'German', 'iso_639_1': 'de', 'name': 'Deutsch'}, {'english_name': 'Italian', 'iso_639_1': 'it', 'name': 'Italiano'}, {'english_name': 'Romanian', 'iso_639_1': 'ro', 'name': 'Română'}]",Released,,Boys On Film 21: Beautiful Secret,False,10.0,1.0,,,
6,False,,,0.0,"[{'id': 10402, 'name': '음악'}]",https://www.gbvdb.com/album.asp?albumid=2217,800006.0,,en,Dutch Freaks: Guided By Voices Live in Amsterdam,,0.6,/jcpqH60VKk1KuKORaVkZmcuMLiC.jpg,"[{'id': 149871, 'logo_path': None, 'name': 'Pavemalk & Bobfather', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1996-06-23,0.0,120.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Dutch Freaks: Guided By Voices Live in Amsterdam,False,9.0,1.0,,,
7,False,,,0.0,"[{'id': 10749, 'name': '로맨스'}]",http://sarahrotella.com/portfolio/first-last/,800007.0,,en,"Hello, Goodbye",,0.6,/dszvXiYpiHXyDU5yQrDnRooH1Al.jpg,"[{'id': 91569, 'logo_path': None, 'name': 'Unsolicited Pictures', 'origin_country': ''}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}]",2019-12-04,0.0,4.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,"Hello, Goodbye",False,8.0,1.0,,,
8,False,,,0.0,"[{'id': 18, 'name': '드라마'}]",,800008.0,,ta,கருவேலம் பூக்கள்,,0.6,,"[{'id': 32413, 'logo_path': '/jXHqu6xyG8l5mKwK66u5ahzYdfD.png', 'name': 'National Film Development Corporation of India', 'origin_country': 'IN'}, {'id': 66632, 'logo_path': '/alQJKHLQlV3EFkCshP5pyLfI3z0.png', 'name': 'Doordarshan', 'origin_country': 'IN'}]","[{'iso_3166_1': 'IN', 'name': 'India'}]",1996-01-01,0.0,130.0,"[{'english_name': 'Tamil', 'iso_639_1': 'ta', 'name': 'தமிழ்'}]",Released,,கருவேலம் பூக்கள்,False,8.0,1.0,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,False,34.0,The resource you requested could not be found.
